,History,Actual,Forecast,Previous
0,13/12/2022,0.10%,0.30%,0.40%
1,10/11/2022,0.40%,0.60%,0.40%
2,13/10/2022,0.40%,0.20%,0.10%
3,13/09/2022,0.10%,-0.10%,0.00%
4,10/08/2022,0.00%,0.20%,1.30%
5,13/07/2022,1.30%,1.10%,1.00%
6,10/06/2022,1.00%,0.70%,0.30%
7,11/05/2022,0.30%,0.20%,1.20%
8,12/04/2022,1.20%,1.20%,0.80%
9,10/03/2022,0.80%,0.80%,0.60%
10,10/02/2022,0.60%,0.40%,0.50%
11,12/01/2022,0.50%,0.40%,0.80%
12,10/12/2021,0.80%,0.70%,0.90%
13,10/11/2021,0.90%,0.60%,0.40%
14,13/10/2021,0.40%,0.30%,0.30%
15,14/09/2021,0.30%,0.40%,0.50%
16,11/08/2021,0.50%,0.50%,0.90%
17,13/07/2021,0.90%,0.50%,0.60%
18,10/06/2021,0.60%,0.40%,0.80%
19,12/05/2021,0.80%,0.20%,0.60%
20,13/04/2021,0.60%,0.50%,0.40%
21,10/03/2021,0.40%,0.40%,0.30%
22,10/02/2021,0.30%,0.30%,0.40%
23,13/01/2021,0.40%,0.40%,0.20%
24,10/12/2020,0.20%,0.10%,0.00%
25,12/11/2020,0.00%,0.10%,0.20%
26,13/10/2020,0.20%,0.20%,0.40%
27,11/09/2020,0.40%,0.30%,0.60%
28,12/08/2020,0.60%,0.30%,0.60%
29,14/07/2020,0.60%,0.50%,-0.10%
30,10/06/2020,-0.10%,0.00%,-0.80%
31,12/05/2020,-0.80%,-0.70%,-0.40%
32,10/04/2020,-0.40%,-0.30%,0.10%
33,11/03/2020,0.10%,0.00%,0.10%
34,13/02/2020,0.10%,0.20%,0.20%
35,14/01/2020,0.20%,0.20%,0.30%
36,11/12/2019,0.30%,0.20%,0.40%
37,13/11/2019,0.40%,0.30%,0.00%
38,10/10/2019,0.00%,0.10%,0.10%
39,12/09/2019,0.10%,0.10%,0.30%
40,13/08/2019,0.30%,0.30%,0.10%
41,11/07/2019,0.10%,0.00%,0.10%
42,12/06/2019,0.10%,0.10%,0.30%
43,10/05/2019,0.30%,0.40%,0.40%
44,10/04/2019,0.40%,0.30%,0.20%
45,12/03/2019,0.20%,0.20%,0.00%
46,13/02/2019,0.00%,0.10%,-0.10%
47,11/01/2019,-0.10%,-0.10%,0.00%
48,12/12/2018,0.00%,0.00%,0.30%
49,14/11/2018,0.30%,0.30%,0.10%
50,11/10/2018,0.10%,0.20%,0.20%
51,13/09/2018,0.20%,0.30%,0.20%
52,10/08/2018,0.20%,0.20%,0.10%
