DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
27/01/2023,N/A,N/A,N/A,N/A,N/A
26/01/2023,33771.66,33953.79,33635.6,33949.41,333738
25/01/2023,33538.36,33773.09,33273.21,33743.84,344392
24/01/2023,33444.72,33782.92,33310.56,33733.96,299319
23/01/2023,33439.56,33782.88,33316.25,33629.56,357537
20/01/2023,33073.46,33381.95,32948.93,33375.49,369420
19/01/2023,33171.35,33227.49,32982.05,33044.56,319775
18/01/2023,33948.49,34016.53,33269.9,33296.96,351671
17/01/2023,34222.32,34269.97,33860.67,33910.85,353051
16/01/2023,N/A,N/A,N/A,N/A,N/A
13/01/2023,34075.31,34342.32,33915.49,34302.61,274115
12/01/2023,34047.86,34292.67,33792.1,34189.97,308197
11/01/2023,33754.03,33974.69,33711.04,33973.01,301652
10/01/2023,33516.43,33726.54,33421.8,33704.1,269499
09/01/2023,33664.39,33935.11,33487.66,33517.65,327846
06/01/2023,33055.3,33710.66,32997.39,33630.61,365497
05/01/2023,33191.72,33191.72,32812.33,32930.08,342665
04/01/2023,33165.14,33409.1,33033.48,33269.77,383346
03/01/2023,33148.9,33387.52,32850.57,33136.37,358608
02/01/2023,N/A,N/A,N/A,N/A,N/A
30/12/2022,33121.61,33152.55,32847.82,33147.25,296191
29/12/2022,33021.43,33293.42,33020.35,33220.8,245838
28/12/2022,33264.76,33379.55,32869.15,32875.71,254303
27/12/2022,33224.23,33387.72,33069.58,33241.56,246014
26/12/2022,N/A,N/A,N/A,N/A,N/A
23/12/2022,32961.06,33226.14,32814.02,33203.93,221052
22/12/2022,33233.35,33233.35,32573.43,33027.49,342111
21/12/2022,33028.09,33437.84,33028.09,33376.48,328022
20/12/2022,32735.24,32992.23,32649.45,32849.74,303978
19/12/2022,32921.45,33038.94,32581.97,32757.54,330040
16/12/2022,33166.46,33166.46,32654.59,32920.46,788122
15/12/2022,33773,33773,33016.16,33202.22,394295
14/12/2022,34086.07,34395.65,33704.17,33966.35,344321
13/12/2022,34268.44,34712.28,33890.88,34108.64,443976
12/12/2022,33519.5,34005.04,33519.5,34005.04,321122
09/12/2022,33746.71,33844.63,33462.65,33476.46,292616
08/12/2022,33695.97,33899.17,33642.46,33781.48,272733
07/12/2022,33556.4,33774.27,33503.67,33597.92,295404
06/12/2022,33936.87,34006.63,33418.59,33596.34,307790
05/12/2022,34335.73,34335.73,33846.81,33947.1,315963
02/12/2022,34265.45,34483.21,34039.73,34429.88,291061
01/12/2022,34533.59,34595.51,34129.35,34395.01,349576
30/11/2022,33795.43,34589.77,33583.77,34589.77,552485
29/11/2022,33847.8,33933.91,33662.45,33852.53,279754
28/11/2022,34275.91,34303.88,33799.35,33849.46,303020
25/11/2022,34213.04,34386.51,34199.57,34347.03,131933
24/11/2022,N/A,N/A,N/A,N/A,N/A
23/11/2022,34091.57,34262.07,34004.64,34194.06,236818
22/11/2022,33810.05,34115.7,33810.05,34098.1,279597
21/11/2022,33760.3,33864.59,33559.18,33700.28,352960
18/11/2022,33606.59,33827.94,33540.64,33745.69,312950
17/11/2022,33329.27,33616.02,33239.75,33546.32,321568
16/11/2022,33554.93,33682.83,33516.99,33553.83,301555
15/11/2022,33755.94,33987.06,33320.2,33592.92,390608
14/11/2022,33662.05,33964.3,33533.96,33536.7,360586
11/11/2022,33797.75,33817.96,33394.43,33747.86,430722
10/11/2022,33263.91,33727.73,33167.82,33715.37,488255
09/11/2022,33004.47,33065.11,32478.87,32513.94,360823
08/11/2022,32934.56,33355.39,32831.46,33160.83,342882
07/11/2022,32454.1,32895.59,32424.99,32827,341103
04/11/2022,32265.01,32611.52,31938.92,32403.22,425482
03/11/2022,31985.05,32185.71,31727.05,32001.25,357267
02/11/2022,32576.28,33071.93,32139.77,32147.76,399646
01/11/2022,32862.79,32975.48,32485.23,32653.2,325571
31/10/2022,32754.27,32883.86,32586.93,32732.95,394104
28/10/2022,32204.31,32889.81,32158.38,32861.8,499424
27/10/2022,32062.14,32388.42,31993.21,32033.28,392534
26/10/2022,31738.44,32172.42,31738.44,31839.11,430404
25/10/2022,31463.65,31876.15,31423.53,31836.74,342091
24/10/2022,31187.32,31603.63,31161.41,31499.62,345036
21/10/2022,30291.18,31119.27,30206.28,31082.56,418193
20/10/2022,30411.92,30822.96,30265.2,30333.59,333186
19/10/2022,30439.04,30662.11,30226.9,30423.81,315539
18/10/2022,30697.52,30837.9,30301.83,30523.8,390763
17/10/2022,30059.58,30311.95,29997.62,30185.82,374234
14/10/2022,30192.21,30428.82,29614.3,29634.83,380975
13/10/2022,28755.83,30168.54,28660.94,30038.72,472674
12/10/2022,29233.06,29455.12,29136.03,29210.85,306532
11/10/2022,29085.2,29608.42,29074.23,29239.19,358470
10/10/2022,29419.09,29485.82,29010.41,29202.88,318466
07/10/2022,29685.27,29685.27,29142.66,29296.79,370384
06/10/2022,30206.13,30329.61,29859.34,29926.94,308948
05/10/2022,30078.36,30454.46,29886.44,30273.87,292042
04/10/2022,29826.67,30325.05,29826.67,30316.32,379032
03/10/2022,28855.25,29647.79,28855.25,29490.89,397826
30/09/2022,29123.03,29355.78,28715.85,28725.51,466861
29/09/2022,29513.73,29513.73,28997.34,29225.61,392423
28/09/2022,29198.92,29811.78,29114.97,29683.74,439139
27/09/2022,29419.88,29659.12,28958.22,29134.99,356591
26/09/2022,29536.84,29630.77,29161.12,29260.81,374485
23/09/2022,29955.65,29955.65,29250.47,29590.41,389446
22/09/2022,30204.52,30302.28,29994.53,30076.68,335272
21/09/2022,30819.39,31020.79,30181.99,30183.78,354958
20/09/2022,30888.53,30888.53,30465.91,30706.23,320689
19/09/2022,30722.86,31026.89,30559.37,31019.68,296568
16/09/2022,30866.61,30866.61,30550.08,30822.42,627918
15/09/2022,31124.68,31277.69,30882.08,30961.82,349089
14/09/2022,31141.02,31276.82,30885.02,31135.09,353876
13/09/2022,32006.5,32006.5,31018.54,31104.97,433796
12/09/2022,32159.49,32504.04,32159.49,32381.34,343963
09/09/2022,31876.22,32227.74,31876.22,32151.71,312398
08/09/2022,31481.95,31783.37,31321.5,31774.52,344342
07/09/2022,31145.63,31644.34,31095.21,31581.28,355104
06/09/2022,31343.79,31463.89,31048.46,31145.3,N/A
05/09/2022,N/A,N/A,N/A,N/A,N/A
02/09/2022,31848.5,32026.9,31182.09,31318.44,306180
01/09/2022,31454.58,31677.51,31219.75,31656.42,339360
31/08/2022,31827.15,31966.04,31509.59,31510.43,392775
30/08/2022,32163.84,32205.66,31647.22,31790.87,328642
29/08/2022,32188,32325.16,31972.79,32098.99,320085
26/08/2022,33293.43,33364.7,32278.22,32283.4,352849
25/08/2022,33029.27,33306.09,32889.85,33291.78,308532
24/08/2022,32899.01,33095.5,32828.56,32969.23,258939
23/08/2022,33033.52,33138.26,32858.89,32909.59,254459
22/08/2022,33586.59,33586.59,33007.63,33063.61,308895
19/08/2022,33904.69,33904.69,33627.09,33706.74,298427
18/08/2022,33981.86,34043.83,33844.46,33999.04,284136
17/08/2022,34029.55,34161.01,33828.41,33980.32,285726
16/08/2022,33924.35,34281.36,33852.57,34152.01,291753
15/08/2022,33710.7,33954.71,33582.96,33912.44,263720
12/08/2022,33430.72,33767.09,33398.32,33761.05,301160
11/08/2022,33451.51,33651.8,33289.83,33336.67,309718
10/08/2022,33130.63,33364.41,33130.63,33309.51,317910
09/08/2022,32807.36,32877.53,32702.66,32774.41,283446
08/08/2022,32877.36,33109.96,32769.1,32832.54,279112
05/08/2022,32593.9,32814.61,32489.62,32803.47,276168
04/08/2022,32805.69,32829.22,32652.63,32726.82,318772
03/08/2022,32514.21,32912.74,32514.21,32812.5,344295
02/08/2022,32691.29,32772.93,32387.12,32396.17,320392
01/08/2022,32755.71,32972.03,32640.79,32798.4,325504
29/07/2022,32515.62,32910.18,32493.02,32845.13,490272
28/07/2022,32197.62,32609.54,31982.61,32529.63,350629
27/07/2022,31865.05,32336.23,31799.43,32197.59,367623
26/07/2022,31950.04,31950.04,31705.36,31761.54,330699
25/07/2022,31950.93,32029.03,31821.67,31990.04,264609
22/07/2022,32167.92,32219.25,31731.47,31899.29,320971
21/07/2022,31826.49,32040.63,31534.08,32036.9,304087
20/07/2022,31829.99,31944.45,31646.95,31874.84,319141
19/07/2022,31165.91,31842.25,31165.91,31827.05,379947
18/07/2022,31475.98,31644.68,30982.97,31072.61,309963
15/07/2022,30775.37,31288.26,30775.37,31288.26,337387
14/07/2022,30451.8,30680.12,30143.93,30630.17,327448
13/07/2022,30743.63,30979.17,30514.61,30772.79,293833
12/07/2022,31113.31,31346.1,30860.51,30981.33,325913
11/07/2022,31277.98,31367.55,31114.4,31173.84,249431
08/07/2022,31348.43,31511.46,31212.45,31338.15,241127
07/07/2022,31190.65,31421.84,31154.64,31384.55,296623
06/07/2022,30957.3,31224.69,30794.84,31037.68,292707
05/07/2022,30903.12,30971.74,30355.12,30967.82,328197
04/07/2022,N/A,N/A,N/A,N/A,N/A
01/07/2022,30737.77,31139.35,30487.79,31097.26,313349
30/06/2022,30790,30979.85,30431.87,30775.43,397268
29/06/2022,31067.41,31152.96,30894.53,31029.31,273965
28/06/2022,31549.05,31885.09,30934.33,30946.99,353773
27/06/2022,31533.6,31598.59,31351.37,31438.26,313930
24/06/2022,30846.94,31517.29,30846.94,31500.68,470381
23/06/2022,30570.33,30715.63,30293.4,30677.36,362907
22/06/2022,30352.57,30777.92,30166.01,30483.13,345823
21/06/2022,30074.69,30653.98,30074.69,30530.25,379347
20/06/2022,N/A,N/A,N/A,N/A,N/A
17/06/2022,29912.7,30167.52,29653.29,29888.78,701157
16/06/2022,30305.74,30305.74,29740.35,29927.07,444888
15/06/2022,30570.5,31011.97,30185.08,30668.53,394570
14/06/2022,30592.34,30690.8,30144.23,30364.83,368796
13/06/2022,31144.91,31144.91,30373.72,30516.74,480501
10/06/2022,32053.52,32053.52,31387.84,31392.79,364806
09/06/2022,32828.62,32956.73,32267.78,32272.79,289709
08/06/2022,33087.07,33156.5,32824.37,32910.9,273294
07/06/2022,32783.03,33207.45,32641.85,33180.14,278203
06/06/2022,33032.04,33235.37,32819.5,32915.78,258400
03/06/2022,32986.32,33135.61,32839.21,32899.7,298566
02/06/2022,32809.01,33248.61,32509.43,33248.28,331185
01/06/2022,33156.31,33272.34,32584.76,32813.23,338213
31/05/2022,33160.59,33240.22,32752.34,32990.12,549810
30/05/2022,N/A,N/A,N/A,N/A,N/A
27/05/2022,32735.09,33213.62,32682.01,33212.96,331189
26/05/2022,32248.17,32774.14,32248.17,32637.19,352815
25/05/2022,31816.31,32254.44,31754.33,32120.28,348460
24/05/2022,31717.61,32014.86,31365.59,31928.62,382945
23/05/2022,31395.89,31968.42,31395.89,31880.24,405828
20/05/2022,31426.94,31515.78,30635.76,31261.9,498891
19/05/2022,31262.62,31569.13,31016.41,31253.13,517189
18/05/2022,32468.67,32468.67,31393.95,31490.07,465059
17/05/2022,32427,32689.14,32308.15,32654.59,389313
16/05/2022,32152.15,32514.02,31928.18,32223.42,332699
13/05/2022,31963.86,32276.05,31862.79,32196.66,388523
12/05/2022,31699.04,31914.46,31228.22,31730.3,544238
11/05/2022,32123.24,32584.02,31798.86,31834.11,458460
10/05/2022,32504.09,32752.17,31887.89,32160.74,440668
09/05/2022,32685.17,32685.17,32121.98,32245.7,475106
06/05/2022,32773.88,33055.84,32474.69,32899.37,418136
05/05/2022,33854.17,33854.17,32685.1,32997.97,448418
04/05/2022,33171.8,34117.74,33021.84,34061.06,412374
03/05/2022,33086.09,33341.58,32914.75,33128.79,364422
02/05/2022,32978.49,33224.95,32449.87,33061.5,453388
29/04/2022,33787.01,33919.59,32913.15,32977.21,501563
28/04/2022,33425.96,34054.79,33248.46,33916.39,451595
27/04/2022,33450.92,33697.18,33108.89,33301.93,456285
26/04/2022,33907.49,33909.51,33230.95,33240.18,403703
25/04/2022,33731.65,34106.01,33323.37,34049.46,417998
22/04/2022,34727.38,34727.38,33773.39,33811.4,373279
21/04/2022,35258.8,35492.22,34723.82,34792.76,371916
20/04/2022,34962.67,35315.4,34962.67,35160.79,338741
19/04/2022,34394.62,34983.11,34394.62,34911.2,303438
18/04/2022,34411.49,34618.29,34279.08,34411.69,268822
15/04/2022,N/A,N/A,N/A,N/A,N/A
14/04/2022,34628.46,34889.17,34437.5,34451.23,353682
13/04/2022,34166.64,34598.36,34140.64,34564.59,313630
12/04/2022,34412.51,34669.97,34102.81,34220.36,333507
11/04/2022,34630.27,34701.34,34272.29,34308.08,336626
08/04/2022,34569.24,34908.46,34470.19,34721.12,306192
07/04/2022,34439.24,34705.83,34190.95,34583.57,324812
06/04/2022,34520.34,34609.84,34277.17,34496.51,386247
05/04/2022,34876.33,35112.21,34566.04,34641.18,308983
04/04/2022,34799.98,34940.78,34615.38,34921.88,317557
01/04/2022,34740.89,34847.91,34538.25,34818.27,346813
31/03/2022,35201.52,35201.52,34677.99,34678.35,438355
30/03/2022,35273.63,35361.36,35058.58,35228.81,324668
29/03/2022,35114.35,35372.26,35030.07,35294.19,355051
28/03/2022,34833.03,34957.93,34552.23,34955.89,302859
25/03/2022,34702.39,34942.7,34631.52,34861.24,287067
24/03/2022,34406.81,34713.56,34355.42,34707.94,324865
23/03/2022,34748.84,34748.84,34352.96,34358.5,349592
22/03/2022,34583.24,34882.03,34583.24,34807.46,368547
21/03/2022,34669.85,34808.28,34341.81,34552.99,408489
18/03/2022,34466.72,34755.2,34279.83,34754.93,627893
17/03/2022,33995.39,34483.92,33896.06,34480.76,339473
16/03/2022,33653.93,34075.94,33391.24,34063.1,430180
15/03/2022,32989.27,33620.84,32989.27,33544.34,394820
14/03/2022,33000.37,33395.59,32818.16,32945.24,401146
11/03/2022,33279.72,33515.61,32911.89,32944.19,369478
10/03/2022,33106.77,33236.59,32819.76,33174.07,399476
09/03/2022,32860.42,33457.28,32860.42,33286.25,421550
08/03/2022,32885.17,33402.98,32578.73,32632.64,553748
07/03/2022,33579.75,33579.75,32806.15,32817.38,488398
04/03/2022,33655.43,33655.43,33254.12,33614.8,412932
03/03/2022,33972.87,34179.07,33641.53,33794.66,369873
02/03/2022,33379.51,34013.67,33379.51,33891.35,402813
01/03/2022,33813.48,33870.14,33107.67,33294.95,442312
28/02/2022,33870.62,33963.63,33469.31,33892.6,451814
25/02/2022,33277.22,34095.74,33277.22,34058.75,421167
24/02/2022,32830.33,33269.34,32272.64,33223.83,593186
23/02/2022,33680.97,33832.59,33084.9,33131.76,376494
22/02/2022,33974.09,34024.74,33364.29,33596.61,438315
21/02/2022,N/A,N/A,N/A,N/A,N/A
18/02/2022,34310.45,34423.58,33976.18,34079.18,414076
17/02/2022,34858.47,34858.47,34246.23,34312.03,348723
16/02/2022,34951.83,35042.09,34642.64,34934.27,309361
15/02/2022,34686.19,35047.79,34686.19,34988.84,305666
14/02/2022,34694.5,34744.56,34304.28,34566.17,373410
11/02/2022,35267.89,35431.15,34620.52,34738.06,410404
10/02/2022,35630.81,35800.24,35100.72,35241.59,416709
09/02/2022,35614.9,35824.28,35614.9,35768.06,339611
08/02/2022,35160.68,35544.89,35090.42,35462.78,333936
07/02/2022,35108.38,35325.01,34993.98,35091.13,328911
04/02/2022,35095.74,35333.55,34799.08,35089.74,349880
03/02/2022,35520.08,35535.94,35071.06,35111.16,390175
02/02/2022,35378.19,35679.2,35290.12,35629.33,364057
01/02/2022,35151.47,35441.09,34977.95,35405.24,394897
31/01/2022,34691.17,35148.14,34496.1,35131.86,474442
28/01/2022,34135.24,34731.77,33807.51,34725.47,568439
27/01/2022,34261.75,34773.32,34007.78,34160.78,527779
26/01/2022,34520.82,34815.67,33876.48,34168.09,549307
25/01/2022,34186.64,34591.04,33545.52,34297.73,522186
24/01/2022,34070.61,34420.99,33150.33,34364.5,678120
21/01/2022,34701.69,34896.67,34229.55,34265.37,523884
20/01/2022,35102.66,35490.2,34670.12,34715.39,369073
19/01/2022,35412.3,35547.83,35015.49,35028.65,393081
18/01/2022,35661.76,35661.76,35262.02,35368.47,427260
17/01/2022,N/A,N/A,N/A,N/A,N/A
14/01/2022,35996.43,35996.43,35641.49,35911.81,396471
13/01/2022,36312.49,36513.88,36044.22,36113.62,349737
12/01/2022,36336.16,36453.49,36168.15,36290.32,317858
11/01/2022,36058.85,36271.47,35769.38,36252.02,363192
10/01/2022,36175.21,36175.21,35639.91,36068.87,430683
07/01/2022,36249.59,36382.84,36111.53,36231.66,361423
06/01/2022,36409.05,36464.19,36200.68,36236.47,390187
05/01/2022,36722.6,36952.65,36400.39,36407.11,468455
04/01/2022,36636,36934.84,36636,36799.65,435084
03/01/2022,36321.59,36595.82,36246.45,36585.06,347927
31/12/2021,36385.85,36484.94,36303.97,36338.3,218213
30/12/2021,36522.48,36679.44,36372.13,36398.08,207644
29/12/2021,36421.14,36571.55,36396.19,36488.63,214403
28/12/2021,36302.99,36527.26,36302.99,36398.21,239087
27/12/2021,35954.48,36306.61,35954.48,36302.38,244348
24/12/2021,N/A,N/A,N/A,N/A,N/A
23/12/2021,35782.42,36060.99,35782.42,35950.56,250941
22/12/2021,35491.71,35764.67,35433.13,35753.89,290725
21/12/2021,35069.5,35508.96,35069.5,35492.7,349666
20/12/2021,35222.12,35222.12,34665.5,34932.16,388890
17/12/2021,35800.11,35800.11,35284.26,35365.44,760825
16/12/2021,36036.28,36189.83,35778.21,35897.64,482768
15/12/2021,35549.35,35943.84,35389.3,35927.43,432378
14/12/2021,35605.73,35779.47,35441.74,35544.18,451234
13/12/2021,35958.93,35958.93,35609.53,35650.95,451585
10/12/2021,35830.55,35982.69,35710.43,35970.99,361198
09/12/2021,35722.26,35864.24,35577.14,35754.69,353020
08/12/2021,35716.85,35840.52,35602.65,35754.75,387651
07/12/2021,35423.99,35819.47,35423.99,35719.43,482893
06/12/2021,34633.43,35356.75,34633.43,35227.03,418749
03/12/2021,34692.78,34801.31,34264.57,34580.08,444848
02/12/2021,34076.25,34759.65,34076.25,34639.79,470580
01/12/2021,34678.94,35004.64,34006.98,34022.04,498376
30/11/2021,35056.99,35056.99,34424.44,34483.72,678797
29/11/2021,35017.71,35287.91,34895.89,35135.94,416044
26/11/2021,35366.69,35366.69,34749.8,34899.34,325393
