DATE,OPEN,HIGH,LOW,CLOSE
21/02/2023,103.912,104.260,103.887,104.016
20/02/2023,103.959,104.089,103.760,103.878
17/02/2023,104.200,104.651,103.845,103.957
16/02/2023,103.876,104.232,103.544,104.101
15/02/2023,103.215,104.099,103.164,103.810
14/02/2023,103.218,103.518,102.636,103.270
13/02/2023,103.607,103.837,103.237,103.297
10/02/2023,103.255,103.683,102.899,103.607
09/02/2023,103.433,103.554,102.641,103.190
08/02/2023,103.267,103.521,103.002,103.469
07/02/2023,103.537,103.964,103.001,103.339
06/02/2023,103.088,103.765,103.010,103.629
03/02/2023,101.830,103.132,101.546,103.088
02/02/2023,100.850,101.908,100.820,101.726
01/02/2023,102.095,102.185,101.036,101.080
31/01/2023,102.192,102.607,102.008,102.100
30/01/2023,101.900,102.314,101.659,102.242
27/01/2023,101.715,102.189,101.682,101.899
26/01/2023,101.578,102.180,101.504,101.795
25/01/2023,102.005,102.118,101.576,101.598
24/01/2023,101.988,102.428,101.716,101.916
23/01/2023,101.880,102.275,101.589,102.018
20/01/2023,102.075,102.552,101.880,101.880
19/01/2023,102.381,102.481,101.991,102.066
18/01/2023,102.465,102.899,101.528,102.395
17/01/2023,102.321,102.556,101.937,102.383
16/01/2023,102.209,102.557,101.773,102.304
13/01/2023,102.210,102.654,101.988,102.210
12/01/2023,103.061,103.290,102.078,102.289
11/01/2023,103.221,103.482,103.111,103.179
10/01/2023,103.294,103.490,103.033,103.288
09/01/2023,103.807,103.869,102.944,103.175
06/01/2023,105.051,105.631,103.798,103.808
05/01/2023,104.071,105.272,103.985,105.131
04/01/2023,104.581,104.597,103.831,104.230
03/01/2023,103.663,104.859,103.469,104.650
30/12/2022,103.950,104.104,103.391,103.494
29/12/2022,104.374,104.449,103.780,103.984
28/12/2022,104.328,104.557,103.846,104.460
27/12/2022,104.118,104.399,103.887,104.208
23/12/2022,104.393,104.536,104.124,104.325
22/12/2022,104.216,104.598,103.752,104.394
21/12/2022,103.953,104.383,103.853,104.241
20/12/2022,104.727,104.788,103.777,103.971
19/12/2022,104.746,104.931,104.134,104.666
16/12/2022,104.450,104.838,104.210,104.747
15/12/2022,103.668,104.879,103.541,104.586
14/12/2022,104.074,104.163,103.448,103.662
13/12/2022,104.991,105.095,103.586,104.011
12/12/2022,105.024,105.249,104.669,105.000
09/12/2022,104.856,105.136,104.483,105.024
08/12/2022,105.201,105.433,104.724,104.788
07/12/2022,105.634,105.822,104.876,105.165
06/12/2022,105.156,105.630,104.891,105.564
05/12/2022,104.542,105.399,104.113,105.292
02/12/2022,104.821,105.585,104.377,104.540
01/12/2022,105.697,105.896,104.662,104.732
30/11/2022,106.723,107.195,105.778,105.873
29/11/2022,106.573,106.881,106.058,106.835
28/11/2022,106.322,106.746,105.321,106.664
25/11/2022,105.955,106.423,105.687,106.321
24/11/2022,105.986,106.067,105.633,105.870
23/11/2022,107.076,107.223,106.030,106.097
22/11/2022,107.697,107.747,107.121,107.152
21/11/2022,106.943,107.993,106.894,107.775
18/11/2022,106.693,107.043,106.337,106.943
17/11/2022,106.267,107.240,106.098,106.683
16/11/2022,106.581,106.784,105.859,106.269
15/11/2022,106.997,107.104,105.340,106.571
14/11/2022,106.699,107.274,106.477,106.945
11/11/2022,108.235,108.440,106.281,106.697
10/11/2022,110.299,110.992,107.714,108.086
