History,Actual,Forecast,Previous
"Oct 27, 2022",4.10%,5.30%,9.00%
"Jul 28, 2022",8.70%,7.90%,8.20%
"Apr 28, 2022",8.00%,7.20%,7.10%
"Jan 27, 2022",6.90%,6.00%,6.00%
"Oct 28, 2021",5.70%,5.30%,6.10%
"Jul 29, 2021",6.00%,5.40%,4.30%
"Apr 29, 2021",4.10%,2.60%,2.00%
"Jan 28, 2021",2.00%,2.20%,3.50%
"Oct 29, 2020",3.60%,2.90%,-1.80%
"Jul 30, 2020",-1.80%,0.00%,1.40%
"Apr 29, 2020",1.30%,1.00%,1.30%
"Jan 30, 2020",1.40%,1.80%,1.80%
"Oct 30, 2019",1.70%,1.80%,2.40%
"Jul 26, 2019",2.40%,4.00%,0.90%
"Apr 26, 2019",0.90%,1.30%,1.70%
"Feb 28, 2019",1.80%,1.70%,1.80%
"Oct 26, 2018",1.70%,2.10%,3.00%
"Jul 27, 2018",3.00%,2.30%,2.20%
"Apr 27, 2018",2.00%,2.20%,2.30%
"Jan 26, 2018",2.40%,2.30%,2.10%
