DATE,OPEN,HIGH,LOW,CLOSE
27/01/2023,1928.1,1934.78,1919.4,1926.58
26/01/2023,1946.5,1949.07,1918.96,1928.2
25/01/2023,1937.4,1947.79,1919.89,1946.8
24/01/2023,1929.8,1942.4,1916.97,1937.4
23/01/2023,1925.82,1935.49,1911.49,1929.7
20/01/2023,1931.3,1937.46,1920.61,1925.82
19/01/2023,1903.7,1935.12,1900.2,1931.2
18/01/2023,1907.6,1925.76,1895.5,1903.7
17/01/2023,1915.9,1918.89,1903.4,1907.7
16/01/2023,1920.15,1928.89,1910.6,1917.9
13/01/2023,1895.9,1921.8,1891.6,1919.4
12/01/2023,1875.2,1901.28,1873.6,1895.9
11/01/2023,1876.5,1886.47,1867.16,1875.5
10/01/2023,1871.8,1880.66,1867.2,1876.4
09/01/2023,1865.81,1881.26,1864.3,1871.8
06/01/2023,1833.1,1869.91,1830.23,1865.91
05/01/2023,1855.7,1858.95,1825,1832.5
04/01/2023,1840.7,1864.91,1835.6,1855.2
03/01/2023,1823.53,1850,1823.53,1840.6
02/01/2023,1823.58,1825.7,1822.6,1823.53
30/12/2022,1809.5,1825.81,1809.2,1823.58
29/12/2022,1804.7,1819.99,1801.3,1809.6
28/12/2022,1810.6,1814.47,1796.9,1805
27/12/2022,1797.21,1833.14,1797.21,1811.7
26/12/2022,1797.21,1798.06,1797.2,1797.21
23/12/2022,1790.9,1803.14,1790.5,1797.69
22/12/2022,1813.1,1820.44,1784.84,1790.4
21/12/2022,1816.7,1823.72,1811.1,1813.2
20/12/2022,1786.3,1820.73,1783.7,1816.8
19/12/2022,1791.83,1798.64,1783.7,1786.5
16/12/2022,1775.8,1794.2,1774,1791.83
15/12/2022,1806.2,1808.64,1774.04,1775.7
14/12/2022,1809.5,1813.86,1796.63,1806.2
13/12/2022,1780.3,1824.37,1779.9,1809.9
12/12/2022,1797.41,1797.41,1777.3,1780.5
09/12/2022,1788.1,1805.94,1787.4,1797.41
08/12/2022,1784.8,1794.76,1780.4,1788.2
07/12/2022,1769,1790.38,1767.7,1785.6
06/12/2022,1767.6,1780.79,1764.9,1769
05/12/2022,1797.59,1809.91,1765.3,1767.5
02/12/2022,1802,1804.39,1778.58,1797.25
01/12/2022,1767.8,1803.78,1766.9,1802.2
30/11/2022,1748,1769.9,1745.74,1767.5
29/11/2022,1740.3,1758.82,1739.3,1747.9
28/11/2022,1754.47,1763.64,1738.8,1740.2
25/11/2022,1754.9,1761.06,1745.7,1754.26
24/11/2022,1749.7,1758.59,1748.5,1755.3
23/11/2022,1739.4,1753.11,1729.42,1749.9
22/11/2022,1736.6,1749.7,1736.4,1739.4
21/11/2022,1750.56,1752.95,1732,1736.7
18/11/2022,1759.5,1767.5,1746.6,1750.4
17/11/2022,1772.2,1774.67,1754.41,1759.3
16/11/2022,1778.5,1784.94,1769.9,1772.2
15/11/2022,1769.7,1786.16,1766.7,1778
14/11/2022,1771.23,1775.04,1753.1,1769.5
