DATE,OPEN,HIGH,LOW,CLOSE
26/01/2023,11458.4,11516.05,11341.19,11512.41
25/01/2023,11146.5,11334.22,11069.17,11313.36
24/01/2023,11171.9,11378.15,11171.9,11334.27
23/01/2023,11171.9,11405.5,11144.03,11364.41
20/01/2023,10924.7,11143.17,10885.65,11140.43
19/01/2023,10890.4,10932.52,10804.57,10852.27
18/01/2023,11170.9,11223.41,10952.05,10957.01
17/01/2023,11070,11145.44,11024.72,11095.11
13/01/2023,10906.4,11084.01,10900.16,11079.16
12/01/2023,10969.3,11027.75,10797.12,11001.1
11/01/2023,10795,10932.44,10762.73,10931.67
10/01/2023,10607.7,10743.67,10589.59,10742.63
09/01/2023,10662.1,10807.26,10619.12,10635.65
06/01/2023,10364,10604.14,10265.04,10569.29
05/01/2023,10390.3,10393.22,10295.25,10305.24
04/01/2023,10467.8,10515.22,10337.64,10458.76
03/01/2023,10562.1,10613.06,10309.16,10386.98
30/12/2022,10368.4,10468.31,10324.7,10466.48
29/12/2022,10321.5,10502.08,10301.06,10478.09
28/12/2022,10339.2,10414.82,10207.47,10213.29
27/12/2022,10462.2,10472.32,10340.73,10353.23
23/12/2022,10437.8,10514.76,10361.82,10497.86
22/12/2022,10586.5,10599.34,10313.32,10476.12
21/12/2022,10592,10753.57,10569.2,10709.37
20/12/2022,10490.9,10609.46,10446.82,10547.11
19/12/2022,10707.4,10713.97,10497.55,10546.03
16/12/2022,10767.6,10833.24,10642.1,10705.41
15/12/2022,11012.6,11029.57,10775.61,10810.53
14/12/2022,11248.1,11352.09,11065.24,11170.89
13/12/2022,11256.81,11256.81,11256.81,11256.81
12/12/2022,11015.5,11144.67,10984.82,11143.74
09/12/2022,11038.2,11138.7,10999.26,11004.62
08/12/2022,11011.3,11119.16,10939.47,11082
07/12/2022,10964,11039.81,10910.62,10958.55
06/12/2022,11228.4,11241.42,10956.2,11014.89
05/12/2022,11381,11425.51,11193.02,11239.94
02/12/2022,11475.2,11475.2,11296.72,11461.5
01/12/2022,11475.2,11546.77,11378.75,11482.45
30/11/2022,10995.2,11468.47,10966.53,11468
29/11/2022,11060,11086.02,10944.37,10983.78
28/11/2022,11147.6,11217.75,11020.69,11049.5
25/11/2022,11231,11261.57,11206.38,11226.36
23/11/2022,11174.6,11310.82,11174.6,11285.32
22/11/2022,11058.6,11179.87,10975.66,11174.41
21/11/2022,11091,11128.78,10999.75,11024.51
18/11/2022,11257,11259.44,11059.16,11146.06
17/11/2022,11008.7,11198.84,11006.21,11144.96
16/11/2022,11260.1,11286.1,11162.92,11183.66
15/11/2022,11474.8,11492.62,11241.15,11358.41
14/11/2022,11233.9,11350.13,11167.17,11196.22
11/11/2022,11124.7,11352.43,11069.83,11323.33
10/11/2022,10869.2,11119.12,10779.95,11114.15
09/11/2022,10528.5,10564.97,10344.01,10353.17
08/11/2022,10611.5,10745.64,10472.73,10616.2
07/11/2022,10516.9,10587.96,10428.91,10564.52
04/11/2022,10548.1,10553.63,10262.93,10475.25
03/11/2022,10399.5,10486.01,10319.54,10342.94
02/11/2022,10885,10993.24,10522.9,10524.8
01/11/2022,11154.7,11156.35,10881.19,10890.85
31/10/2022,11028.4,11047.94,10914,10988.15
28/10/2022,10766.2,11117.04,10766.2,11102.45
27/10/2022,10972,10998.73,10780.5,10792.67
26/10/2022,10969,11205.84,10948.38,10970.99
25/10/2022,10997,11210.38,10996.97,11199.12
24/10/2022,10867.1,10983.52,10713.33,10952.61
21/10/2022,10576.04,10875.72,10542.43,10859.72
20/10/2022,10657.4,10837.3,10574.55,10614.84
19/10/2022,10689.3,10808.04,10592.88,10680.51
18/10/2022,10964,10972.97,10670.12,10772.4
17/10/2022,10575.6,10696.59,10569.69,10675.8
14/10/2022,10742.8,10766.69,10308.81,10321.39
13/10/2022,10131.8,10697.71,10088.83,10649.15
12/10/2022,10437,10494.53,10372.21,10417.1
11/10/2022,10484.4,10608.84,10351.98,10426.19
10/10/2022,10659.9,10669.93,10449.04,10542.1
07/10/2022,10877.3,10891.93,10608.52,10652.4
06/10/2022,11129,11230.44,11051.27,11073.31
05/10/2022,11022.7,11204.69,10910.76,11148.64
04/10/2022,11054.7,11189.96,11044.04,11176.41
03/10/2022,10659,10875.46,10577.89,10815.43
30/09/2022,10697.7,10883.04,10572.33,10575.62
29/09/2022,10894.4,10899.47,10623.22,10737.51
28/09/2022,10817.5,11101.5,10776.34,11051.64
27/09/2022,10955.3,11040.98,10741.02,10829.5
26/09/2022,10833.4,11024,10789.05,10802.92
23/09/2022,10952.7,10958.29,10732.72,10867.93
22/09/2022,11167.4,11203.77,11024.64,11066.81
21/09/2022,11466.2,11613.57,11218.99,11220.19
20/09/2022,11440.1,11520.99,11343.72,11425.05
19/09/2022,11338.6,11538.13,11337.83,11535.02
16/09/2022,11401.2,11460.43,11316.92,11448.4
15/09/2022,11633.2,11760.73,11497.11,11552.36
14/09/2022,11680.4,11746.83,11602.76,11719.68
13/09/2022,11908.8,11957.97,11604.43,11633.57
12/09/2022,12174.9,12270.19,12169.28,12266.41
09/09/2022,11958.6,12132.67,11958.6,12112.31
08/09/2022,11679.9,11896.73,11660.53,11862.13
07/09/2022,11559.4,11819.07,11555.08,11791.9
06/09/2022,11643.03,11679.43,11471.5,11544.91
02/09/2022,11899.1,11945.91,11573.51,11630.86
01/09/2022,11707.4,11798.37,11546.52,11785.13
31/08/2022,11972.6,12027.43,11814.17,11816.2
30/08/2022,12093.1,12101.85,11790.02,11883.14
29/08/2022,12021,12124.87,11984.39,12017.67
26/08/2022,12630.6,12655.84,12141.52,12141.71
25/08/2022,12506.4,12641.26,12471.98,12639.27
24/08/2022,12375.2,12504.33,12350.16,12431.53
23/08/2022,12380.4,12490.85,12352.03,12381.3
22/08/2022,12523.2,12538.55,12353.73,12381.57
19/08/2022,12832.3,12859.01,12674.87,12705.21
18/08/2022,12937.8,13002.66,12873.49,12965.34
17/08/2022,12968.6,13053.51,12863.01,12938.12
16/08/2022,13082.6,13181.09,12979.24,13102.55
15/08/2022,12996.6,13146.06,12993.78,13128.05
12/08/2022,12866.3,13047.19,12821.22,13047.19
11/08/2022,12944.8,13026.24,12760.09,12779.91
10/08/2022,12793.4,12861.44,12698.61,12854.8
09/08/2022,12557.5,12582.91,12438.86,12493.93
08/08/2022,12703.7,12855.15,12597.75,12644.46
05/08/2022,12538.8,12720.44,12525.77,12657.55
04/08/2022,12675,12736.19,12600.78,12720.58
03/08/2022,12433.9,12699.64,12425.21,12668.16
02/08/2022,12287.7,12503.34,12260.48,12348.76
01/08/2022,12318,12499.72,12271.98,12368.98
29/07/2022,12239.7,12426.26,12181.13,12390.69
28/07/2022,12036.5,12179.09,11886.67,12162.59
27/07/2022,11756.2,12081.73,11718.38,12032.42
26/07/2022,11701.5,11711.31,11533.37,11562.57
25/07/2022,11838,11855.11,11707.53,11782.67
22/07/2022,12025.4,12093.02,11767.19,11834.11
21/07/2022,11914.1,12060.59,11812.72,12059.61
20/07/2022,11726.1,11939.96,11703.36,11897.65
19/07/2022,11515,11721.22,11448.97,11713.15
18/07/2022,11561.64,11629.03,11322.84,11360.05
15/07/2022,11379.4,11454.69,11295.33,11452.42
14/07/2022,11151.2,11279.97,11005.93,11251.19
13/07/2022,11056.5,11325.67,11031.27,11247.58
12/07/2022,11420.9,11483.17,11207.08,11264.73
11/07/2022,11524.5,11541.1,11348.06,11372.6
08/07/2022,11503.6,11689.7,11479.77,11635.31
07/07/2022,11422.6,11644.47,11412.88,11621.35
06/07/2022,11337.9,11443.15,11250.32,11361.85
05/07/2022,10964.2,11323.89,10911.45,11322.24
01/07/2022,11006.8,11132.55,10922.71,11127.84
30/06/2022,11048.2,11160.92,10850.01,11028.74
29/06/2022,11160.2,11226.33,11072.19,11177.89
