DATE,PPIACO,
1/2/2018,199.3,
1/3/2018,199.3,
1/4/2018,200.3,
1/5/2018,203.2,
1/6/2018,204.2,
1/7/2018,204.3,
1/8/2018,203.4,
1/9/2018,203.6,
1/10/2018,204.6,
1/11/2018,202.3,
1/12/2018,201,
1/1/2019,199.1,
1/2/2019,199.2,
1/3/2019,200.8,
1/4/2019,202.1,
1/5/2019,201.7,
1/6/2019,200.3,
1/7/2019,200.7,
1/8/2019,199.2,
1/9/2019,198.4,
1/10/2019,198.6,
1/11/2019,199,
1/12/2019,199,
1/1/2020,199.3,
1/2/2020,196.7,
1/3/2020,193.1,
1/4/2020,185.5,
1/5/2020,188.6,
1/6/2020,191.2,
1/7/2020,193,
1/8/2020,194.3,
1/9/2020,195.5,
1/10/2020,196.5,
1/11/2020,198.3,
1/12/2020,200.5,
1/1/2021,204.8,
1/2/2021,210.6,
1/3/2021,215,
1/4/2021,217.9,
1/5/2021,224.9,
1/6/2021,228.9,
1/7/2021,231.85,
1/8/2021,233.415,
1/9/2021,235.678,
1/10/2021,240.465,
1/11/2021,243.287,
1/12/2021,241.338,
1/1/2022,246.453,
1/2/2022,252.66,
1/3/2022,260.014,
1/4/2022,265.31,
1/5/2022,273.251,
1/6/2022,280.251,
1/7/2022,272.274,
1/8/2022,269.546,
1/9/2022,267.898,
1/10/2022,265.061,
1/11/2022,263.212,
1/12/2022,258.012,
1/1/2023,259.865,
1/2/2023,258.652,
