,History,Actual,Forecast,Previous
0,16/11/2022,1.30%,1.00%,0.00%
1,14/10/2022,0.00%,0.20%,0.40%
2,15/09/2022,0.30%,-0.10%,-0.40%
3,17/08/2022,0.00%,0.10%,0.80%
4,15/07/2022,1.00%,0.90%,-0.10%
5,15/06/2022,-0.30%,0.10%,0.70%
6,17/05/2022,0.90%,1.00%,1.40%
7,14/04/2022,0.50%,0.60%,0.80%
8,16/03/2022,0.30%,0.40%,4.90%
9,16/02/2022,3.80%,2.10%,-2.50%
10,14/01/2022,-1.90%,0.00%,0.20%
11,15/12/2021,0.30%,0.80%,1.80%
12,16/11/2021,1.70%,1.30%,0.80%
13,15/10/2021,0.70%,-0.20%,0.90%
14,16/09/2021,0.70%,-0.70%,-1.80%
15,17/08/2021,-1.10%,-0.20%,0.70%
16,16/07/2021,0.60%,-0.40%,-1.70%
17,15/06/2021,-1.30%,-0.60%,0.90%
18,14/05/2021,0.00%,1.00%,10.70%
19,15/04/2021,9.80%,5.80%,-2.70%
20,16/03/2021,-3.00%,-0.50%,7.60%
21,17/02/2021,5.30%,1.10%,-1.00%
22,15/01/2021,-0.70%,0.00%,-1.40%
23,16/12/2020,-1.10%,-0.30%,-0.10%
24,17/11/2020,0.30%,0.50%,1.60%
25,16/10/2020,1.90%,0.70%,0.60%
26,16/09/2020,0.60%,1.10%,0.90%
27,14/08/2020,1.20%,2.00%,8.40%
28,16/07/2020,7.50%,5.00%,18.20%
29,16/06/2020,17.70%,7.90%,-14.70%
30,15/05/2020,-16.40%,-12.00%,-8.30%
31,15/04/2020,-8.70%,-8.00%,-0.40%
32,17/03/2020,-0.50%,0.20%,0.60%
33,14/02/2020,0.30%,0.30%,0.20%
34,16/01/2020,0.30%,0.30%,0.30%
35,13/12/2019,0.20%,0.50%,0.40%
36,15/11/2019,0.30%,0.10%,-0.30%
37,16/10/2019,-0.30%,0.30%,0.60%
38,13/09/2019,0.40%,0.20%,0.80%
39,15/08/2019,0.70%,0.30%,0.30%
40,16/07/2019,0.40%,0.10%,0.40%
41,14/06/2019,0.50%,0.70%,0.30%
42,15/05/2019,-0.20%,0.20%,1.70%
43,18/04/2019,1.60%,0.90%,-0.20%
44,01/04/2019,-0.20%,0.30%,0.70%
45,11/03/2019,0.20%,0.00%,-1.60%
46,14/02/2019,-1.20%,0.10%,0.10%
47,14/12/2018,0.20%,0.10%,1.10%
48,15/11/2018,0.80%,0.60%,-0.10%
49,15/10/2018,0.10%,0.70%,0.10%
50,14/09/2018,0.10%,0.40%,0.70%
51,15/08/2018,0.50%,0.10%,0.20%
52,16/07/2018,0.50%,0.40%,1.30%
53,14/06/2018,0.80%,0.40%,0.40%
54,15/05/2018,0.30%,0.40%,0.80%
55,16/04/2018,0.60%,0.40%,-0.10%
56,14/03/2018,-0.10%,0.30%,-0.10%
57,14/02/2018,-0.30%,0.20%,0.00%
58,12/01/2018,0.40%,0.50%,0.90%
59,14/12/2017,0.80%,0.30%,0.50%
60,15/11/2017,0.20%,0.00%,1.90%
61,13/10/2017,1.60%,1.70%,-0.10%
62,15/09/2017,-0.20%,0.10%,0.30%
63,15/08/2017,0.60%,0.30%,0.30%
64,14/07/2017,-0.20%,0.10%,-0.10%
65,14/06/2017,-0.30%,0.10%,0.40%
66,12/05/2017,0.40%,0.60%,0.10%
67,14/04/2017,-0.20%,0.10%,-0.30%
68,15/03/2017,0.10%,0.20%,0.60%
69,15/02/2017,0.40%,0.10%,1.00%
70,13/01/2017,0.60%,0.50%,0.20%
71,14/12/2016,0.10%,0.30%,0.60%
72,15/11/2016,0.80%,0.60%,1.00%
73,14/10/2016,0.60%,0.60%,-0.20%
74,15/09/2016,-0.30%,-0.10%,0.10%
75,12/08/2016,0.00%,0.40%,0.80%
76,15/07/2016,0.60%,0.10%,0.20%
77,14/06/2016,0.50%,0.40%,1.30%
78,13/05/2016,1.30%,-0.30%,-0.30%
79,13/04/2016,-0.30%,0.10%,0.00%
80,15/03/2016,-0.10%,-0.10%,-0.40%
81,12/02/2016,0.20%,0.10%,0.20%
82,15/01/2016,-0.10%,-0.10%,0.40%
83,11/12/2015,0.20%,0.20%,0.10%
84,13/11/2015,0.10%,0.30%,0.00%
85,14/10/2015,0.10%,0.20%,0.00%
86,15/09/2015,0.20%,0.30%,0.70%
87,13/08/2015,0.60%,0.60%,0.00%
88,14/07/2015,-0.30%,0.20%,1.00%
89,11/06/2015,1.20%,1.10%,0.20%
90,13/05/2015,0.00%,0.30%,1.10%
91,14/04/2015,0.90%,1.10%,-0.50%
92,12/03/2015,-0.60%,0.30%,-0.80%
93,12/02/2015,-0.80%,-0.40%,-0.90%
94,14/01/2015,-0.90%,0.20%,0.40%
95,11/12/2014,0.70%,0.40%,0.50%
96,14/11/2014,0.30%,0.20%,-0.30%
97,15/10/2014,-0.30%,-0.10%,0.60%
98,12/09/2014,0.60%,0.30%,0.30%
99,13/08/2014,0.00%,0.20%,0.20%
100,15/07/2014,0.20%,0.60%,0.50%
101,12/06/2014,0.30%,0.50%,0.50%
102,13/05/2014,0.10%,0.50%,1.50%
103,14/04/2014,1.10%,0.80%,0.70%
104,13/03/2014,0.30%,0.30%,-0.60%
105,13/02/2014,-0.40%,0.00%,-0.10%
106,14/01/2014,0.20%,0.20%,0.40%
107,12/12/2013,0.70%,0.60%,0.60%
108,20/11/2013,0.40%,0.10%,0.00%
109,29/10/2013,-0.10%,0.20%,0.20%
110,13/09/2013,0.20%,0.50%,0.40%
111,13/08/2013,0.20%,0.20%,0.60%
112,15/07/2013,0.40%,0.70%,0.50%
113,13/06/2013,0.60%,0.40%,0.10%
114,13/05/2013,0.10%,-0.30%,-0.50%
115,12/04/2013,-0.40%,0.00%,1.00%
116,13/03/2013,1.10%,0.50%,0.20%
117,13/02/2013,0.10%,0.10%,0.50%
118,15/01/2013,0.50%,0.20%,0.40%
