Date,Close,Open,Hi,Low,Volume(mil),% Change
1/3/2023,940.4,969.37,973.25,906.76,1720,-2.61%
1/2/2023,965.56,996.56,1007.11,964.1,1160,-2.76%
1/1/2023,992.95,1009.84,1020.39,992.13,27390,-1.22%
1/12/2022,1005.24,996.86,1014.08,968.38,20850,1.15%
1/11/2022,993.78,983,1003.34,976.28,25220,1.46%
1/10/2022,979.45,952.76,985.18,931.66,24920,2.62%
1/9/2022,954.44,993.51,1005.46,952.51,30040,-4.20%
1/8/2022,996.33,962.56,998.54,958.52,32110,3.92%
1/7/2022,958.73,953.74,960.27,929.92,24850,0.81%
1/6/2022,951.07,1000.98,1004.63,936.57,32070,-5.11%
1/5/2022,1002.24,983.39,1002.27,945.9,29980,1.90%
1/4/2022,983.56,1018.2,1027.07,974.86,23120,-3.54%
1/3/2022,1019.67,1022.53,1034.67,958.08,43800,0.30%
1/2/2022,1016.58,1000.29,1041.37,995.05,44670,2.34%
1/1/2022,993.29,995.8,1004.26,975.62,39180,0.26%
1/12/2021,990.75,940.99,993.53,931.04,28920,5.95%
1/11/2021,935.08,978.17,994.89,933.35,46630,-4.06%
1/10/2021,974.67,960.35,995.31,956.65,34910,1.07%
1/9/2021,964.35,994.57,1005.67,953.4,35930,-2.80%
1/8/2021,992.13,912.78,995.78,903.57,29200,8.95%
1/7/2021,910.61,955.95,960.45,908.2,28690,-4.52%
1/6/2021,953.72,968.66,995.06,943.86,29630,-0.92%
1/5/2021,962.58,953.45,965.58,912.03,25890,0.69%
1/4/2021,955.97,975.6,983.18,935.96,25520,-1.57%
1/3/2021,971.24,928.25,985.45,924.02,42380,4.44%
1/2/2021,929.95,914.83,958.2,908.04,30780,1.45%
1/1/2021,916.66,896.7,992.03,893.62,43540,0.68%
1/12/2020,910.45,915.65,968.93,881.64,81440,0.20%
1/11/2020,908.61,747.17,938.34,743.57,59890,21.76%
1/10/2020,746.26,786.49,810.61,739.95,23240,-4.46%
1/9/2020,781.06,846.41,851.65,780.61,18970,-7.48%
1/8/2020,844.22,858.84,880.89,838.1,24850,-2.17%
1/7/2020,862.98,889.71,922.66,844.39,26070,-2.50%
1/6/2020,885.15,905.1,979.98,861.47,44780,-1.21%
1/5/2020,896.01,862.83,904.63,838.04,37630,2.57%
1/4/2020,873.56,749.55,873.56,740.29,44730,15.41%
1/3/2020,756.91,911.75,948.74,628.97,50360,-15.70%
1/2/2020,897.84,1013.1,1038.72,894.31,28480,-11.81%
1/1/2020,1018.08,1072.36,1086.71,1011.96,33050,-4.72%
1/12/2019,1068.5,1068.96,1077.51,1041.28,25510,-0.16%
1/11/2019,1070.23,1072.65,1107.13,1062.23,31260,-0.28%
1/10/2019,1073.26,1090.54,1096.38,1057.94,24550,-1.56%
1/9/2019,1090.31,1092.95,1118.99,1077.05,27680,-0.56%
1/8/2019,1096.47,1126.28,1128.7,1046.62,29790,-3.05%
1/7/2019,1130.92,1162.32,1164.72,1123.89,27510,-1.73%
1/6/2019,1150.85,1078.64,1155.69,1076.83,26130,7.07%
1/5/2019,1074.87,1115.35,1119.2,1061.58,24780,-3.37%
1/4/2019,1112.39,1095.81,1121.14,1090.64,17710,1.97%
1/3/2019,1090.94,1100.9,1102.15,1070.63,19660,-0.76%
1/2/2019,1099.3,1098.26,1117.58,1086.88,19310,0.26%
1/1/2019,1096.5,1048.13,1102.66,1034.66,25510,4.94%
1/12/2018,1044.92,1108.31,1122.34,1031.45,16780,-4.27%
1/11/2018,1091.55,1104.04,1118.18,1061.59,18180,-0.99%
1/10/2018,1102.49,1163.05,1164.92,1048.41,22970,-4.86%
1/9/2018,1158.75,1138.38,1166.78,1090.92,28740,1.75%
1/8/2018,1138.8,1129.93,1147.45,1098.99,28080,1.00%
1/7/2018,1127.56,1053.26,1132.39,1043.67,33320,7.22%
1/6/2018,1051.63,1134.55,1152.4,1043.32,29540,-7.33%
1/5/2018,1134.76,1174.72,1191.14,1122.97,32980,-3.59%
1/4/2018,1177.02,1170.17,1198.48,1136.17,25180,0.45%
1/3/2018,1171.79,1197.88,1201.62,1155.88,30930,-2.80%
1/2/2018,1205.57,1191.58,1223.67,1140.37,29700,1.64%
1/1/2018,1186.16,1139.7,1202.06,1138.2,36170,4.49%
