DATE,Dividend Yield
Jan 15 2000,0.0116
Feb 15 2000,0.012
Mar 15 2000,0.0116
Apr 15 2000,0.0115
May 15 2000,0.0118
Jun 15 2000,0.0114
Jul 15 2000,0.0113
Aug 15 2000,0.0111
Sep 15 2000,0.0111
Oct 15 2000,0.0117
Nov 15 2000,0.0118
Dec 15 2000,0.0122
Jan 15 2001,0.0121
Feb 15 2001,0.0123
Mar 15 2001,0.0135
Apr 15 2001,0.0133
May 15 2001,0.0124
Jun 15 2001,0.0127
Jul 15 2001,0.013
Aug 15 2001,0.0133
Sep 15 2001,0.0151
Oct 15 2001,0.0146
Nov 15 2001,0.0139
Dec 15 2001,0.0137
Jan 15 2002,0.0138
Feb 15 2002,0.0143
Mar 15 2002,0.0136
Apr 15 2002,0.0142
May 15 2002,0.0148
Jun 15 2002,0.0158
Jul 15 2002,0.0177
Aug 15 2002,0.0174
Sep 15 2002,0.0182
Oct 15 2002,0.0186
Nov 15 2002,0.0176
Dec 15 2002,0.0179
Jan 15 2003,0.018
Feb 15 2003,0.0193
Mar 15 2003,0.0192
Apr 15 2003,0.0182
May 15 2003,0.0173
Jun 15 2003,0.0164
Jul 15 2003,0.0164
Aug 15 2003,0.0166
Sep 15 2003,0.0163
Oct 15 2003,0.0162
Nov 15 2003,0.0163
Dec 15 2003,0.0161
Jan 15 2004,0.0155
Feb 15 2004,0.0156
Mar 15 2004,0.016
Apr 15 2004,0.0161
May 15 2004,0.0167
Jun 15 2004,0.0164
Jul 15 2004,0.017
Aug 15 2004,0.0174
Sep 15 2004,0.0171
Oct 15 2004,0.0172
Nov 15 2004,0.0166
Dec 15 2004,0.0162
Jan 15 2005,0.0167
Feb 15 2005,0.0166
Mar 15 2005,0.0169
Apr 15 2005,0.0176
May 15 2005,0.0176
Jun 15 2005,0.0174
Jul 15 2005,0.0173
Aug 15 2005,0.0174
Sep 15 2005,0.0175
Oct 15 2005,0.0182
Nov 15 2005,0.0178
Dec 15 2005,0.0176
Jan 15 2006,0.0175
Feb 15 2006,0.0177
Mar 15 2006,0.0176
Apr 15 2006,0.0177
May 15 2006,0.018
Jun 15 2006,0.0187
Jul 15 2006,0.0188
Aug 15 2006,0.0186
Sep 15 2006,0.0183
Oct 15 2006,0.0179
Nov 15 2006,0.0177
Dec 15 2006,0.0176
Jan 15 2007,0.0176
Feb 15 2007,0.0175
Mar 15 2007,0.0181
Apr 15 2007,0.0176
May 15 2007,0.0172
Jun 15 2007,0.0173
