DATE,OPEN,HIGH,LOW,CLOSE
17/02/2023,3.90,3.90,3.81,3.82
16/02/2023,3.80,3.91,3.80,3.90
15/02/2023,3.76,3.83,3.75,3.80
14/02/2023,3.68,3.80,3.63,3.76
13/02/2023,3.75,3.76,3.68,3.68
10/02/2023,3.69,3.75,3.67,3.75
09/02/2023,3.59,3.72,3.57,3.69
08/02/2023,3.67,3.69,3.58,3.59
07/02/2023,3.65,3.69,3.59,3.66
06/02/2023,3.61,3.66,3.60,3.65
03/02/2023,3.39,3.62,3.39,3.62
02/02/2023,3.37,3.41,3.33,3.39
01/02/2023,3.47,3.51,3.36,3.37
31/01/2023,3.53,3.55,3.46,3.47
30/01/2023,3.56,3.57,3.52,3.53
27/01/2023,3.55,3.56,3.50,3.56
26/01/2023,3.49,3.56,3.45,3.55
25/01/2023,3.43,3.50,3.42,3.49
24/01/2023,3.49,3.55,3.42,3.43
23/01/2023,3.51,3.55,3.49,3.49
20/01/2023,3.44,3.51,3.43,3.51
19/01/2023,3.37,3.45,3.37,3.44
18/01/2023,3.46,3.46,3.32,3.37
17/01/2023,3.57,3.57,3.46,3.46
16/01/2023,3.51,3.58,3.51,3.57
13/01/2023,3.48,3.51,3.43,3.51
12/01/2023,3.50,3.59,3.42,3.48
11/01/2023,3.58,3.59,3.49,3.50
10/01/2023,3.59,3.64,3.56,3.58
09/01/2023,3.59,3.59,3.51,3.59
06/01/2023,3.72,3.75,3.55,3.59
05/01/2023,3.74,3.78,3.70,3.72
04/01/2023,3.68,3.74,3.67,3.74
03/01/2023,3.77,3.81,3.68,3.68
30/12/2022,3.88,3.91,3.83,3.87
29/12/2022,3.87,3.89,3.82,3.88
28/12/2022,3.82,3.89,3.82,3.87
27/12/2022,3.79,3.86,3.79,3.82
26/12/2022,3.74,3.79,3.73,3.79
23/12/2022,3.70,3.75,3.70,3.74
22/12/2022,3.66,3.72,3.65,3.70
21/12/2022,3.65,3.70,3.62,3.66
20/12/2022,3.67,3.72,3.64,3.65
19/12/2022,3.56,3.71,3.56,3.67
16/12/2022,3.51,3.56,3.46,3.56
15/12/2022,3.50,3.51,3.43,3.51
14/12/2022,3.52,3.56,3.46,3.50
13/12/2022,3.55,3.55,3.42,3.52
12/12/2022,3.54,3.63,3.52,3.55
09/12/2022,3.48,3.59,3.48,3.55
08/12/2022,3.45,3.51,3.45,3.47
07/12/2022,3.54,3.54,3.40,3.45
06/12/2022,3.55,3.58,3.51,3.54
05/12/2022,3.52,3.61,3.52,3.55
02/12/2022,3.50,3.64,3.47,3.52
01/12/2022,3.58,3.63,3.50,3.51
30/11/2022,3.73,3.80,3.58,3.58
29/11/2022,3.70,3.76,3.69,3.73
28/11/2022,3.68,3.72,3.65,3.70
25/11/2022,3.74,3.75,3.62,3.68
24/11/2022,3.66,3.75,3.65,3.75
23/11/2022,3.79,3.79,3.69,3.70
22/11/2022,3.81,3.81,3.74,3.79
21/11/2022,3.81,3.84,3.76,3.80
18/11/2022,3.79,3.84,3.76,3.81
17/11/2022,3.76,3.82,3.74,3.79
16/11/2022,3.77,3.80,3.67,3.76
15/11/2022,3.83,3.84,3.76,3.77
14/11/2022,3.89,3.90,3.80,3.83
11/11/2022,3.82,3.91,3.82,3.89
10/11/2022,3.99,4.00,3.81,3.82
09/11/2022,4.17,4.17,4.06,4.10
08/11/2022,4.19,4.20,4.11,4.17
07/11/2022,4.15,4.24,4.15,4.19
04/11/2022,4.17,4.21,4.10,4.15
03/11/2022,4.18,4.22,4.11,4.17
02/11/2022,4.04,4.21,3.98,4.18
01/11/2022,3.93,4.08,3.92,4.04
31/10/2022,4.05,4.11,3.92,3.93
28/10/2022,4.01,4.07,3.95,4.05
27/10/2022,4.06,4.06,3.90,4.00
26/10/2022,4.07,4.09,4.00,4.06
25/10/2022,4.16,4.17,4.03,4.07
24/10/2022,4.20,4.29,4.15,4.16
21/10/2022,4.32,4.33,4.13,4.20
20/10/2022,4.12,4.34,4.10,4.32
19/10/2022,4.10,4.18,4.07,4.11
18/10/2022,3.98,4.10,3.96,4.10
17/10/2022,3.93,4.04,3.91,3.98
14/10/2022,3.87,4.03,3.85,3.93
13/10/2022,3.86,4.08,3.86,3.87
12/10/2022,3.93,3.98,3.84,3.85
11/10/2022,3.90,3.97,3.87,3.93
10/10/2022,3.89,4.01,3.89,3.90
07/10/2022,3.84,3.91,3.83,3.89
06/10/2022,3.77,3.86,3.74,3.84
05/10/2022,3.70,3.79,3.70,3.77
04/10/2022,3.61,3.72,3.57,3.70
03/10/2022,3.70,3.71,3.56,3.61
30/09/2022,3.73,3.84,3.69,3.70
29/09/2022,3.79,3.82,3.68,3.73
28/09/2022,3.90,3.90,3.70,3.79
27/09/2022,3.82,4.01,3.82,3.89
26/09/2022,3.76,3.93,3.74,3.82
23/09/2022,3.76,3.80,3.66,3.76
22/09/2022,3.55,3.83,3.55,3.75
21/09/2022,3.53,3.63,3.50,3.55
20/09/2022,3.56,3.60,3.52,3.53
19/09/2022,3.50,3.57,3.46,3.57
16/09/2022,3.45,3.52,3.41,3.49
15/09/2022,3.45,3.48,3.41,3.45
14/09/2022,3.47,3.48,3.38,3.46
13/09/2022,3.30,3.47,3.30,3.46
12/09/2022,3.28,3.38,3.27,3.30
09/09/2022,3.27,3.35,3.25,3.28
08/09/2022,3.23,3.33,3.23,3.27
07/09/2022,3.31,3.33,3.20,3.22
06/09/2022,3.26,3.36,3.24,3.31
05/09/2022,3.20,3.28,3.20,3.26
02/09/2022,3.25,3.29,3.18,3.20
01/09/2022,3.24,3.30,3.23,3.26
31/08/2022,3.13,3.24,3.10,3.24
30/08/2022,3.08,3.16,3.07,3.13
29/08/2022,3.09,3.12,3.05,3.08
26/08/2022,3.08,3.13,3.01,3.09
25/08/2022,3.11,3.13,3.02,3.08
24/08/2022,3.05,3.13,3.05,3.11
23/08/2022,3.05,3.08,2.98,3.05
22/08/2022,2.97,3.05,2.97,3.05
19/08/2022,2.97,3.00,2.94,2.96
18/08/2022,2.84,2.98,2.83,2.96
17/08/2022,2.90,2.92,2.83,2.84
16/08/2022,2.81,2.91,2.81,2.90
15/08/2022,2.79,2.82,2.76,2.81
12/08/2022,2.85,2.88,2.78,2.79
11/08/2022,2.74,2.91,2.73,2.86
10/08/2022,2.80,2.80,2.67,2.74
09/08/2022,2.80,2.82,2.76,2.81
08/08/2022,2.79,2.82,2.74,2.80
05/08/2022,2.70,2.87,2.70,2.79
04/08/2022,2.67,2.72,2.66,2.70
03/08/2022,2.79,2.85,2.67,2.67
02/08/2022,2.53,2.80,2.53,2.79
01/08/2022,2.68,2.70,2.52,2.53
29/07/2022,2.71,2.73,2.62,2.69
28/07/2022,2.78,2.78,2.65,2.71
27/07/2022,2.78,2.83,2.72,2.78
26/07/2022,2.74,2.82,2.71,2.78
25/07/2022,2.83,2.85,2.73,2.74
