History,Actual,Forecast,Previous
"Jan 19, 2023",190000,214000,205000
"Jan 12, 2023",205000,216000,206000
"Jan 5, 2023",204000,230000,223000
"Dec 29, 2022",225000,225000,216000
"Dec 22, 2022",216000,221000,214000
"Dec 15, 2022",211000,230000,231000
"Dec 8, 2022",230000,230000,226000
"Dec 1, 2022",225000,234000,241000
"Nov 23, 2022",240000,225000,223000
"Nov 17, 2022",222000,228000,226000
"Nov 10, 2022",225000,220000,218000
"Nov 3, 2022",217000,220000,218000
"Oct 27, 2022",217000,219000,214000
"Oct 20, 2022",214000,229000,226000
"Oct 13, 2022",228000,225000,219000
"Oct 6, 2022",219000,205000,190000
"Sep 29, 2022",193000,215000,209000
"Sep 22, 2022",213000,220000,208000
"Sep 15, 2022",213000,225000,218000
"Sep 8, 2022",222000,234000,228000
"Sep 1, 2022",232000,250000,237000
"Aug 25, 2022",243000,250000,245000
"Aug 18, 2022",250000,265000,252000
"Aug 11, 2022",262000,264000,248000
"Aug 4, 2022",260000,262000,254000
"Jul 28, 2022",256000,253000,261000
"Jul 21, 2022",251000,240000,244000
"Jul 14, 2022",244000,235000,235000
"Jul 7, 2022",235000,230000,231000
"Jun 30, 2022",231000,228000,233000
"Jun 23, 2022",229000,227000,231000
"Jun 16, 2022",229000,215000,232000
"Jun 9, 2022",229000,205000,202000
"Jun 2, 2022",200000,210000,211000
"May 26, 2022",210000,217000,218000
"May 19, 2022",218000,200000,197000
"May 12, 2022",203000,190000,202000
"May 5, 2022",200000,180000,181000
"Apr 28, 2022",180000,178000,185000
"Apr 21, 2022",184000,177000,186000
"Apr 14, 2022",185000,172000,167000
"Apr 7, 2022",166000,201000,171000
"Mar 31, 2022",202000,195000,188000
"Mar 24, 2022",187000,210000,215000
"Mar 17, 2022",214000,221000,229000
"Mar 10, 2022",227000,220000,216000
"Mar 3, 2022",215000,223000,233000
"Feb 24, 2022",232000,233000,249000
"Feb 17, 2022",248000,217000,225000
"Feb 10, 2022",223000,227000,239000
"Feb 3, 2022",238000,245000,261000
"Jan 27, 2022",260000,260000,290000
"Jan 20, 2022",286000,227000,231000
"Jan 13, 2022",230000,199000,207000
"Jan 6, 2022",207000,199000,200000
"Dec 30, 2021",198000,205000,206000
"Dec 23, 2021",205000,200000,205000
"Dec 16, 2021",206000,196000,188000
"Dec 9, 2021",184000,218000,227000
"Dec 2, 2021",222000,238000,194000
"Nov 24, 2021",199000,259000,270000
"Nov 18, 2021",268000,260000,269000
"Nov 10, 2021",267000,257000,271000
"Nov 4, 2021",269000,273000,283000
"Oct 28, 2021",281000,290000,291000
"Oct 21, 2021",290000,298000,296000
"Oct 14, 2021",293000,315000,329000
"Oct 7, 2021",326000,350000,364000
"Sep 30, 2021",362000,333000,351000
"Sep 23, 2021",351000,322000,335000
"Sep 16, 2021",332000,325000,312000
"Sep 9, 2021",310000,343000,345000
"Sep 2, 2021",340000,342000,354000
"Aug 26, 2021",353000,345000,349000
"Aug 19, 2021",348000,362000,377000
"Aug 12, 2021",375000,375000,387000
"Aug 5, 2021",385000,382000,399000
"Jul 29, 2021",400000,382000,424000
"Jul 22, 2021",419000,350000,368000
"Jul 15, 2021",360000,350000,386000
"Jul 8, 2021",373000,345000,371000
"Jul 1, 2021",364000,388000,415000
"Jun 24, 2021",411000,382000,418000
"Jun 17, 2021",412000,360000,375000
"Jun 10, 2021",376000,370000,385000
"Jun 3, 2021",385000,400000,405000
"May 27, 2021",406000,427000,444000
"May 20, 2021",444000,453000,478000
"May 13, 2021",473000,487000,507000
"May 6, 2021",498000,540000,590000
"Apr 29, 2021",553000,545000,566000
"Apr 22, 2021",547000,607000,586000
"Apr 15, 2021",576000,703000,769000
"Apr 8, 2021",744000,682000,728000
"Apr 1, 2021",719000,678000,658000
"Mar 25, 2021",684000,727000,781000
"Mar 18, 2021",770000,704000,725000
"Mar 11, 2021",712000,730000,754000
"Mar 4, 2021",745000,758000,736000
"Feb 25, 2021",730000,828000,841000
"Feb 18, 2021",861000,775000,848000
"Feb 11, 2021",793000,755000,812000
"Feb 4, 2021",779000,828000,812000
"Jan 28, 2021",847000,880000,914000
"Jan 21, 2021",900000,930000,926000
"Jan 14, 2021",965000,785000,784000
"Jan 7, 2021",787000,798000,790000
"Dec 31, 2020",787000,832000,806000
"Dec 23, 2020",803000,882000,892000
"Dec 17, 2020",885000,817000,862000
"Dec 10, 2020",853000,723000,716000
"Dec 3, 2020",712000,775000,787000
"Nov 25, 2020",778000,732000,748000
"Nov 19, 2020",742000,707000,711000
"Nov 12, 2020",709000,730000,757000
"Nov 5, 2020",751000,740000,758000
"Oct 29, 2020",751000,773000,791000
"Oct 22, 2020",787000,860000,842000
"Oct 15, 2020",898000,810000,845000
"Oct 8, 2020",840000,820000,849000
"Oct 1, 2020",837000,850000,873000
"Sep 24, 2020",870000,845000,866000
"Sep 17, 2020",860000,825000,893000
"Sep 10, 2020",884000,838000,884000
"Sep 3, 2020",881000,955000,1011000
"Aug 27, 2020",1006000,1000000,1104000
"Aug 20, 2020",1106000,930000,971000
"Aug 13, 2020",963000,1120000,1191000
"Aug 6, 2020",1186000,1410000,1435000
"Jul 30, 2020",1434000,1440000,1422000
"Jul 23, 2020",1416000,1300000,1307000
"Jul 16, 2020",1300000,1250000,1310000
"Jul 9, 2020",1314000,1375000,1413000
"Jul 2, 2020",1427000,1350000,1482000
"Jun 25, 2020",1480000,1320000,1540000
