,History,Actual,Forecast,Previous
0,02/12/2022,3.70%,3.70%,3.70%
1,04/11/2022,3.70%,3.60%,3.50%
2,07/10/2022,3.50%,3.70%,3.70%
3,02/09/2022,3.70%,3.50%,3.50%
4,05/08/2022,3.50%,3.60%,3.60%
5,08/07/2022,3.60%,3.60%,3.60%
6,03/06/2022,3.60%,3.50%,3.60%
7,06/05/2022,3.60%,3.50%,3.60%
8,01/04/2022,3.60%,3.70%,3.80%
9,04/03/2022,3.80%,3.90%,4.00%
10,04/02/2022,4.00%,3.90%,3.90%
11,07/01/2022,3.90%,4.10%,4.20%
12,03/12/2021,4.20%,4.50%,4.60%
13,05/11/2021,4.60%,4.70%,4.80%
14,08/10/2021,4.80%,5.10%,5.20%
15,03/09/2021,5.20%,5.20%,5.40%
16,06/08/2021,5.40%,5.70%,5.90%
17,02/07/2021,5.90%,5.60%,5.80%
18,04/06/2021,5.80%,5.90%,6.10%
19,07/05/2021,6.10%,5.80%,6.00%
20,02/04/2021,6.00%,6.00%,6.20%
21,05/03/2021,6.20%,6.30%,6.30%
22,05/02/2021,6.30%,6.70%,6.70%
23,08/01/2021,6.70%,6.80%,6.70%
24,04/12/2020,6.70%,6.80%,6.90%
25,06/11/2020,6.90%,7.70%,7.90%
26,02/10/2020,7.90%,8.20%,8.40%
27,04/09/2020,8.40%,9.80%,10.20%
28,07/08/2020,10.20%,10.50%,11.10%
29,02/07/2020,11.10%,12.40%,13.30%
30,05/06/2020,13.30%,19.40%,14.70%
31,08/05/2020,14.70%,16.00%,4.40%
32,03/04/2020,4.40%,3.80%,3.50%
33,06/03/2020,3.50%,3.60%,3.60%
34,07/02/2020,3.60%,3.50%,3.50%
35,10/01/2020,3.50%,3.50%,3.50%
36,06/12/2019,3.50%,3.60%,3.60%
37,01/11/2019,3.60%,3.60%,3.50%
38,04/10/2019,3.50%,3.70%,3.70%
39,06/09/2019,3.70%,3.70%,3.70%
40,02/08/2019,3.70%,3.60%,3.70%
41,05/07/2019,3.70%,3.60%,3.60%
42,07/06/2019,3.60%,3.60%,3.60%
43,03/05/2019,3.60%,3.80%,3.80%
44,05/04/2019,3.80%,3.80%,3.80%
45,08/03/2019,3.80%,3.90%,4.00%
46,01/02/2019,4.00%,3.90%,3.90%
47,04/01/2019,3.90%,3.70%,3.70%
48,07/12/2018,3.70%,3.70%,3.70%
49,02/11/2018,3.70%,3.70%,3.70%
50,05/10/2018,3.70%,3.80%,3.90%
51,07/09/2018,3.90%,3.80%,3.90%
52,03/08/2018,3.90%,3.90%,4.00%
53,06/07/2018,4.00%,3.80%,3.80%
54,01/06/2018,3.80%,3.90%,3.90%
55,04/05/2018,3.90%,4.00%,4.10%
56,06/04/2018,4.10%,4.00%,4.10%
57,09/03/2018,4.10%,4.00%,4.10%
58,02/02/2018,4.10%,4.10%,4.10%
59,05/01/2018,4.10%,4.10%,4.10%
60,08/12/2017,4.10%,4.10%,4.10%
61,03/11/2017,4.10%,4.20%,4.20%
62,06/10/2017,4.20%,4.40%,4.40%
63,01/09/2017,4.40%,4.30%,4.30%
64,04/08/2017,4.30%,4.30%,4.40%
65,07/07/2017,4.40%,4.30%,4.30%
66,02/06/2017,4.30%,4.40%,4.40%
67,05/05/2017,4.40%,4.60%,4.50%
68,07/04/2017,4.50%,4.70%,4.70%
69,10/03/2017,4.70%,4.70%,4.80%
70,03/02/2017,4.80%,4.70%,4.70%
71,06/01/2017,4.70%,4.70%,4.60%
72,02/12/2016,4.60%,4.90%,4.90%
73,04/11/2016,4.90%,4.90%,5.00%
74,07/10/2016,5.00%,4.90%,4.90%
75,02/09/2016,4.90%,4.80%,4.90%
76,05/08/2016,4.90%,4.80%,4.90%
77,08/07/2016,4.90%,4.80%,4.70%
78,03/06/2016,4.70%,4.90%,5.00%
79,06/05/2016,5.00%,5.00%,5.00%
80,01/04/2016,5.00%,4.90%,4.90%
81,04/03/2016,4.90%,4.90%,4.90%
82,05/02/2016,4.90%,5.00%,5.00%
83,08/01/2016,5.00%,5.00%,5.00%
84,04/12/2015,5.00%,5.00%,5.00%
85,06/11/2015,5.00%,5.00%,5.10%
86,02/10/2015,5.10%,5.10%,5.10%
87,04/09/2015,5.10%,5.20%,5.30%
88,07/08/2015,5.30%,5.30%,5.30%
89,02/07/2015,5.30%,5.40%,5.50%
90,05/06/2015,5.50%,5.40%,5.40%
91,08/05/2015,5.40%,5.40%,5.50%
92,03/04/2015,5.50%,5.50%,5.50%
93,06/03/2015,5.50%,5.60%,5.70%
94,06/02/2015,5.70%,5.60%,5.60%
95,09/01/2015,5.60%,5.70%,5.80%
96,05/12/2014,5.80%,5.80%,5.80%
97,07/11/2014,5.80%,5.90%,5.90%
98,03/10/2014,5.90%,6.10%,6.10%
99,05/09/2014,6.10%,6.10%,6.20%
100,01/08/2014,6.20%,6.10%,6.10%
101,03/07/2014,6.10%,6.30%,6.30%
102,06/06/2014,6.30%,6.40%,6.30%
103,02/05/2014,6.30%,6.60%,6.70%
104,04/04/2014,6.70%,6.60%,6.70%
105,07/03/2014,6.70%,6.60%,6.60%
106,07/02/2014,6.60%,6.70%,6.70%
107,10/01/2014,6.70%,7.00%,7.00%
108,06/12/2013,7.00%,7.20%,7.30%
109,08/11/2013,7.30%,7.30%,7.20%
110,22/10/2013,7.20%,7.30%,7.30%
111,06/09/2013,7.30%,7.40%,7.40%
112,02/08/2013,7.40%,7.50%,7.60%
113,05/07/2013,7.60%,7.50%,7.60%
114,07/06/2013,7.60%,7.50%,7.50%
115,03/05/2013,7.50%,7.60%,7.60%
116,05/04/2013,7.60%,7.70%,7.70%
117,08/03/2013,7.70%,7.90%,7.90%
118,01/02/2013,7.90%,7.80%,7.80%
119,04/01/2013,7.80%,7.70%,7.70%
